date;op;hp;lp;cp
12.05.2020;193.3;198;191.2;191.4
13.05.2020;190.05;190.6;186.66;187.31
14.05.2020;186.5;188.2;183.5;183.81
15.05.2020;186.13;186.78;183.33;183.85
18.05.2020;186.33;190;185.4;188.93
19.05.2020;190.37;192.55;186.8;189
20.05.2020;188.49;193.98;186.6;193.98
21.05.2020;194;196.31;191.5;192.4
22.05.2020;190.97;191.25;188.6;188.9
25.05.2020;189.62;191.31;188.8;191
26.05.2020;193;196.1;192.11;194
27.05.2020;194;198.97;193.32;198.51
28.05.2020;199.31;205;198.4;205
29.05.2020;204.11;204.4;199.17;200.5
01.06.2020;203.1;205.93;201.81;203.66
02.06.2020;204.67;212;204;212
03.06.2020;214;221.92;213.51;221.5
04.06.2020;220.67;221;212.55;213.1
05.06.2020;215.13;219.93;213.6;219.1
08.06.2020;219.8;223.15;217.45;220.3
09.06.2020;221.13;221.88;215.44;217.23
10.06.2020;217;217.58;211.82;212.53
11.06.2020;208.91;209.24;206.01;208.35
15.06.2020;205.07;207.85;202.3;207.32
16.06.2020;210.28;212.19;207.52;207.76
17.06.2020;208.52;210.35;206.94;208.14
18.06.2020;207.8;208.1;202.72;203.77
19.06.2020;205.44;209.2;204.55;207
22.06.2020;206.7;207.95;204.28;206.4
23.06.2020;207.7;209.74;206.43;207.3
25.06.2020;201;207;200.75;206.92
26.06.2020;206.97;207.5;201.76;203.15
29.06.2020;201;205.86;200.97;205.8
30.06.2020;205.7;206;202.36;203.22
02.07.2020;205;210.15;204.28;209.6
03.07.2020;210;211.97;209;210.95
06.07.2020;212.97;216.79;212.94;214.61
07.07.2020;213;214.23;210.51;210.53
08.07.2020;210.8;212.29;209.3;210.97
09.07.2020;210.7;211.7;208.1;209.11
10.07.2020;207.51;212.6;206.57;212.28
13.07.2020;213.87;214.2;208.11;208.39
14.07.2020;208.38;209.58;205.7;209.5
15.07.2020;210.29;211.8;207.65;211.09
16.07.2020;209.66;212.6;208.63;211.35
17.07.2020;211.69;212.18;209.86;210.81
20.07.2020;210.27;214.48;209.08;213.89
21.07.2020;215;219.1;214.38;215.73
22.07.2020;215.98;217.65;213.56;216.71
23.07.2020;217.5;219.28;215;215.41
24.07.2020;214.8;217.41;197.73;215.97
27.07.2020;216.7;218.38;215.15;216.9
28.07.2020;216.81;217.42;215.25;215.53
29.07.2020;215.89;219.18;215.63;219.18
30.07.2020;218.71;218.88;215.34;218.15
31.07.2020;218.19;221.98;217.43;221.57
03.08.2020;222.27;228.36;221.3;226.72
04.08.2020;227.39;228.85;225.63;227.16
05.08.2020;228.15;229.17;224.31;226.4
06.08.2020;226.75;227.43;224.35;226
07.08.2020;225;227.6;224.46;227.28
10.08.2020;227.96;228.7;224.51;225.99
11.08.2020;226.43;234.73;226.21;232.65
12.08.2020;233.12;242.5;233.03;242.4
13.08.2020;242.2;244.04;238.57;241.39
14.08.2020;242;242.22;238.47;239.99
17.08.2020;240.8;242.35;234.5;237.8
18.08.2020;236.88;239.83;235.69;236.3
19.08.2020;235.85;240.75;235.19;239.4
20.08.2020;238.44;238.51;230.33;232.48
21.08.2020;233.3;236.5;227.35;231.22
24.08.2020;232.5;233.7;230.2;231.81
25.08.2020;232.3;232.97;226.9;228.08
26.08.2020;228.3;229.4;224.7;227.8
27.08.2020;227.87;229.98;225.6;226.23
28.08.2020;227;228.1;225.19;226.3
31.08.2020;227;229.71;225;226.1
01.09.2020;226.7;227.97;226.01;227.64
02.09.2020;228.56;228.75;220.85;222.57
03.09.2020;221.67;224.23;218;218.32
04.09.2020;218;222.5;216.75;222.21
07.09.2020;221.5;224.2;220.5;221.32
08.09.2020;222;222.48;216.29;217.68
09.09.2020;217.01;218.88;216.8;218
10.09.2020;218.24;222.15;215.79;220.6
11.09.2020;221.46;223.15;219.75;221.07
14.09.2020;222.31;227.54;222.13;227.37
15.09.2020;228.22;231.95;227.39;231.5
16.09.2020;231.72;232.6;230.15;231.06
17.09.2020;229.1;231.75;228.57;231.46
18.09.2020;232;232.59;229;230.3
21.09.2020;229.88;230.07;223.49;226.25
22.09.2020;226;230.28;225.46;229.88
23.09.2020;230.02;232.1;227.61;228.5
24.09.2020;227.63;231.1;225.75;228.17
25.09.2020;229;229.3;226.25;228.24
28.09.2020;228.79;229.55;227.35;228.63
29.09.2020;228.88;228.88;223.1;225.48
30.09.2020;224.5;230.75;223.25;229.14
01.10.2020;229.08;229.9;226.86;227.23
02.10.2020;210.4;211.39;206.5;208.8
05.10.2020;209.65;210.69;207.72;208.89
06.10.2020;209;212.99;208.35;211.18
07.10.2020;211.3;212.66;209.03;210.6
08.10.2020;211.2;211.43;207.26;207.97
09.10.2020;208.47;208.96;204.4;205.38
12.10.2020;205.97;208.49;204.57;206.18
13.10.2020;205.92;207.64;204.77;205.03
14.10.2020;205.06;208;204.78;207.83
15.10.2020;207.46;207.57;201.95;203.85
16.10.2020;204.02;204.25;200.5;201.17
19.10.2020;201.55;204;201.55;202.78
20.10.2020;203;209.76;202.5;209.54
21.10.2020;210.04;213.25;208.9;210.33
22.10.2020;209.58;211.53;207.84;210.21
23.10.2020;210;214.73;209.15;214.5
26.10.2020;213.4;214.45;210.5;211.1
27.10.2020;211.5;212.29;206.66;207.64
28.10.2020;206.94;206.94;202.3;204.73
29.10.2020;206.5;207.33;203.64;205.58
30.10.2020;203.62;204.84;200.61;200.99
02.11.2020;200.45;204.59;196.15;204.5
03.11.2020;205.7;211.11;203.8;209.2
05.11.2020;214.4;218.65;211.43;216.7
06.11.2020;215.8;218.29;213;217.5
09.11.2020;220;231.3;218.7;228.05
10.11.2020;227;237.6;226.27;236.1
11.11.2020;237;245.98;236.89;244.2
12.11.2020;243.31;245.72;240.22;242.08
13.11.2020;242.01;244.14;238.62;242.99
16.11.2020;244.14;248.73;244;247.99
17.11.2020;248;249.84;243.41;245.7
18.11.2020;245.1;247.23;242.59;242.71
19.11.2020;242.5;243.49;237.34;240.27
20.11.2020;239.58;240.77;236.57;239.42
23.11.2020;240.45;243.87;238.52;239.7
24.11.2020;241.65;247.85;239.57;247.33
25.11.2020;248;252.2;246.55;251.91
26.11.2020;252.3;252.88;247.44;250.1
27.11.2020;250.3;252.26;248.03;251.59
30.11.2020;249.72;251;245.98;249.63
01.12.2020;250.75;260.99;249.8;260.81
02.12.2020;260.05;264.99;258.8;264.06
03.12.2020;264.5;264.63;260.85;263.14
04.12.2020;264.63;270.84;264.5;270
07.12.2020;269;276.13;268.1;274.36
08.12.2020;274.5;276.66;271.52;275.49
09.12.2020;276.4;279.42;275.87;276.89
10.12.2020;276.55;282.2;275.2;282.2
11.12.2020;282.5;284.6;279.78;283.73
14.12.2020;285.01;287.74;277.1;279.95
15.12.2020;278.53;283.76;276.07;278.7
16.12.2020;278;280.84;276.14;278.35
17.12.2020;279.81;285.16;276.54;278.5
18.12.2020;277.22;277.4;268.52;270.16
21.12.2020;266.2;267.34;259.7;261.79
22.12.2020;259.55;267.42;257.05;262.04
23.12.2020;262.25;270.29;260.22;270.1
24.12.2020;271.98;272.82;267.13;269.32
25.12.2020;269.97;271;268.28;270.64
28.12.2020;270.9;275.19;269.73;274.7
29.12.2020;275.91;276.43;271.26;272
30.12.2020;272.49;274.24;270.12;271.65
04.01.2021;274.67;276.6;270.61;272
05.01.2021;272.69;275.7;270.28;275.2
06.01.2021;275.94;275.94;271.62;272.93
08.01.2021;275.11;283.99;275.11;283.64
11.01.2021;282.86;292.95;279.48;289.49
12.01.2021;290.88;296.07;286.7;289.99
13.01.2021;291.01;292.46;283.1;283.78
14.01.2021;284;286.9;279.06;284.79
15.01.2021;282.55;286.16;276;276.9
18.01.2021;275.72;281.3;272.95;279.79
19.01.2021;280.98;282.8;276.42;278.19
20.01.2021;278.62;282.49;276.77;279.8
21.01.2021;280.75;281.54;272.84;274.4
22.01.2021;273;273.3;266.78;268.25
25.01.2021;271;273.63;261.65;265.3
26.01.2021;262.7;269.57;262.61;269.34
27.01.2021;270.07;273.8;265.02;265.5
28.01.2021;263.5;267.17;261.17;265.96
29.01.2021;263.77;264.75;257.36;258.11
01.02.2021;260;264.06;258.73;263.8
02.02.2021;265;268.39;263.05;263.15
03.02.2021;264.32;268.14;261.05;263.53
04.02.2021;263.21;270.6;262.34;270.11
05.02.2021;271.99;272.57;268.87;271.7
