S;Trend;oNum;sameTrendNum;PACC
Начало-a;Down;1;1;100
a-a;Down;204;170;83.33333333
a-a;Up;204;33;16.17647059
a-e;Up;251;231;92.03187251
e-a;Up;253;28;11.06719368
a-f;Up;5;5;100
f-a;Down;8;7;87.5
a-a;Down;204;170;83.33333333
a-e;Up;251;231;92.03187251
e-e;Up;186;178;95.69892473
e-e;Up;186;178;95.69892473
e-f;Up;9;9;100
f-a;Down;8;7;87.5
a-e;Up;251;231;92.03187251
e-f;Up;9;9;100
f-e;Up;6;5;83.33333333
e-a;Down;253;224;88.53754941
a-e;Up;251;231;92.03187251
e-e;Up;186;178;95.69892473
e-a;Down;253;224;88.53754941
a-a;Down;204;170;83.33333333
a-a;Down;204;170;83.33333333
a-e;Down;251;20;7.96812749
e-a;Up;253;28;11.06719368
a-a;Up;204;33;16.17647059
a-a;Down;204;170;83.33333333
a-e;Up;251;231;92.03187251
e-a;Down;253;224;88.53754941
a-a;Up;204;33;16.17647059
a-e;Down;251;20;7.96812749
e-a;Down;253;224;88.53754941
a-e;Up;251;231;92.03187251
e-a;Down;253;224;88.53754941
a-e;Up;251;231;92.03187251
e-e;Up;186;178;95.69892473
e-e;Up;186;178;95.69892473
e-a;Down;253;224;88.53754941
a-e;Up;251;231;92.03187251
e-a;Down;253;224;88.53754941
a-e;Up;251;231;92.03187251
e-a;Down;253;224;88.53754941
a-e;Up;251;231;92.03187251
e-e;Up;186;178;95.69892473
e-e;Up;186;178;95.69892473
e-a;Down;253;224;88.53754941
a-e;Up;251;231;92.03187251
e-e;Up;186;178;95.69892473
e-e;Up;186;178;95.69892473
e-a;Down;253;224;88.53754941
a-e;Up;251;231;92.03187251
e-e;Up;186;178;95.69892473
e-a;Down;253;224;88.53754941
a-f;Up;5;5;100
f-a;Down;8;7;87.5
a-e;Up;251;231;92.03187251
e-e;Up;186;178;95.69892473
e-a;Up;253;28;11.06719368
a-a;Down;204;170;83.33333333
a-a;Down;204;170;83.33333333
a-e;Up;251;231;92.03187251
e-a;Down;253;224;88.53754941
a-e;Up;251;231;92.03187251
e-e;Up;186;178;95.69892473
e-a;Down;253;224;88.53754941
a-a;Down;204;170;83.33333333
a-a;Down;204;170;83.33333333
a-a;Down;204;170;83.33333333
a-e;Up;251;231;92.03187251
e-a;Down;253;224;88.53754941
a-a;Down;204;170;83.33333333
a-a;Up;204;33;16.17647059
a-a;Down;204;170;83.33333333
a-a;Down;204;170;83.33333333
a-a;Down;204;170;83.33333333
a-a;Up;204;33;16.17647059
a-a;Down;204;170;83.33333333
a-e;Up;251;231;92.03187251
e-a;Down;253;224;88.53754941
a-a;Down;204;170;83.33333333
a-e;Up;251;231;92.03187251
e-a;Down;253;224;88.53754941
a-a;Down;204;170;83.33333333
a-e;Up;251;231;92.03187251
e-e;Up;186;178;95.69892473
e-a;Up;253;28;11.06719368
a-e;Up;251;231;92.03187251
e-e;Up;186;178;95.69892473
e-a;Down;253;224;88.53754941
a-e;Up;251;231;92.03187251
e-a;Down;253;224;88.53754941
a-a;Down;204;170;83.33333333
a-e;Up;251;231;92.03187251
e-a;Down;253;224;88.53754941
a-e;Down;251;20;7.96812749
e-a;Up;253;28;11.06719368
a-a;Up;204;33;16.17647059
a-b;Down;11;11;100
b-e;Up;14;13;92.85714286
e-a;Down;253;224;88.53754941
a-a;Down;204;170;83.33333333
a-a;Up;204;33;16.17647059
a-e;Up;251;231;92.03187251
e-a;Down;253;224;88.53754941
a-a;Down;204;170;83.33333333
a-a;Down;204;170;83.33333333
a-e;Up;251;231;92.03187251
e-a;Down;253;224;88.53754941
a-e;Up;251;231;92.03187251
e-a;Down;253;224;88.53754941
a-a;Down;204;170;83.33333333
a-h;Up;5;5;100
h-e;Up;5;5;100
e-e;Up;186;178;95.69892473
e-e;Down;186;8;4.301075269
e-e;Up;186;178;95.69892473
e-a;Down;253;224;88.53754941
a-a;Down;204;170;83.33333333
a-b;Down;11;11;100
b-a;Up;5;2;40
a-a;Down;204;170;83.33333333
a-e;Up;251;231;92.03187251
e-e;Up;186;178;95.69892473
e-e;Up;186;178;95.69892473
e-e;Up;186;178;95.69892473
e-e;Up;186;178;95.69892473
e-e;Up;186;178;95.69892473
e-e;Up;186;178;95.69892473
e-a;Down;253;224;88.53754941
a-e;Up;251;231;92.03187251
e-e;Up;186;178;95.69892473
e-a;Down;253;224;88.53754941
a-a;Down;204;170;83.33333333
a-a;Down;204;170;83.33333333
a-a;Down;204;170;83.33333333
a-a;Up;204;33;16.17647059
a-e;Up;251;231;92.03187251
e-e;Up;186;178;95.69892473
e-a;Down;253;224;88.53754941
a-e;Up;251;231;92.03187251
e-a;Down;253;224;88.53754941
a-e;Up;251;231;92.03187251
e-e;Up;186;178;95.69892473
e-a;Down;253;224;88.53754941
a-e;Up;251;231;92.03187251
e-e;Up;186;178;95.69892473
e-e;Up;186;178;95.69892473
e-e;Up;186;178;95.69892473
e-f;Up;9;9;100
f-e;Up;6;5;83.33333333
e-a;Down;253;224;88.53754941
a-e;Down;251;20;7.96812749
e-e;Down;186;8;4.301075269
e-a;Up;253;28;11.06719368
a-a;Down;204;170;83.33333333
a-a;Down;204;170;83.33333333
a-e;Up;251;231;92.03187251
e-e;Up;186;178;95.69892473
e-a;Down;253;224;88.53754941
a-e;Up;251;231;92.03187251
e-e;Up;186;178;95.69892473
e-a;Down;253;224;88.53754941
a-a;Down;204;170;83.33333333
a-a;Up;204;33;16.17647059
a-e;Up;251;231;92.03187251
e-b;Down;9;9;100
b-h;Up;1;1;100
h-e;Up;5;5;100
e-a;Up;253;28;11.06719368
a-a;Down;204;170;83.33333333
a-e;Up;251;231;92.03187251
e-a;Down;253;224;88.53754941
a-e;Up;251;231;92.03187251
e-a;Down;253;224;88.53754941
a-e;Up;251;231;92.03187251
e-a;Down;253;224;88.53754941
a-a;Down;204;170;83.33333333
