Segment;Trend
Начало-a;Down
a-a;Down
a-a;Up
a-e;Up
e-a;Up
a-f;Up
f-a;Down
a-a;Down
a-e;Up
e-e;Up
e-e;Up
e-f;Up
f-a;Down
a-e;Up
e-f;Up
f-e;Up
e-a;Down
a-e;Up
e-e;Up
e-a;Down
a-a;Down
a-a;Down
a-e;Down
e-a;Up
a-a;Up
a-a;Down
a-e;Up
e-a;Down
a-a;Up
a-e;Down
e-a;Down
a-e;Up
e-a;Down
a-e;Up
e-e;Up
e-e;Up
e-a;Down
a-e;Up
e-a;Down
a-e;Up
e-a;Down
a-e;Up
e-e;Up
e-e;Up
e-a;Down
a-e;Up
e-e;Up
e-e;Up
e-a;Down
a-e;Up
e-e;Up
e-a;Down
a-f;Up
f-a;Down
a-e;Up
e-e;Up
e-a;Up
a-a;Down
a-a;Down
a-e;Up
e-a;Down
a-e;Up
e-e;Up
e-a;Down
a-a;Down
a-a;Down
a-a;Down
a-e;Up
e-a;Down
a-a;Down
a-a;Up
a-a;Down
a-a;Down
a-a;Down
a-a;Up
a-a;Down
a-e;Up
e-a;Down
a-a;Down
a-e;Up
e-a;Down
a-a;Down
a-e;Up
e-e;Up
e-a;Up
a-e;Up
e-e;Up
e-a;Down
a-e;Up
e-a;Down
a-a;Down
a-e;Up
e-a;Down
a-e;Down
e-a;Up
a-a;Up
a-b;Down
b-e;Up
e-a;Down
a-a;Down
a-a;Up
a-e;Up
e-a;Down
a-a;Down
a-a;Down
a-e;Up
e-a;Down
a-e;Up
e-a;Down
a-a;Down
a-h;Up
h-e;Up
e-e;Up
e-e;Down
e-e;Up
e-a;Down
a-a;Down
a-b;Down
b-a;Up
a-a;Down
a-e;Up
e-e;Up
e-e;Up
e-e;Up
e-e;Up
e-e;Up
e-e;Up
e-a;Down
a-e;Up
e-e;Up
e-a;Down
a-a;Down
a-a;Down
a-a;Down
a-a;Up
a-e;Up
e-e;Up
e-a;Down
a-e;Up
e-a;Down
a-e;Up
e-e;Up
e-a;Down
a-e;Up
e-e;Up
e-e;Up
e-e;Up
e-f;Up
f-e;Up
e-a;Down
a-e;Down
e-e;Down
e-a;Up
a-a;Down
a-a;Down
a-e;Up
e-e;Up
e-a;Down
a-e;Up
e-e;Up
e-a;Down
a-a;Down
a-a;Up
a-e;Up
e-b;Down
b-h;Up
h-e;Up
e-a;Up
a-a;Down
a-e;Up
e-a;Down
a-e;Up
e-a;Down
a-e;Up
e-a;Down
a-a;Down
a-a;Down
a-e;Up
e-a;Down
a-e;Up
e-a;Down
a-e;Up
e-a;Down
a-a;Up
a-e;Up
e-a;Up
a-e;Up
e-a;Down
a-a;Down
a-a;Down
a-e;Up
e-e;Up
e-a;Down
a-a;Equal
a-a;Down
a-e;Up
e-b;Down
b-e;Up
e-a;Down
a-a;Down
a-e;Down
e-e;Up
e-e;Up
e-a;Down
a-a;Down
a-e;Up
e-e;Up
e-a;Down
a-e;Up
e-a;Down
a-e;Up
e-a;Down
a-a;Down
a-a;Down
a-e;Up
e-e;Up
e-a;Down
a-e;Up
e-e;Up
e-e;Up
e-e;Up
e-a;Down
a-a;Down
a-a;Down
a-e;Up
e-a;Down
a-a;Down
a-e;Up
e-a;Down
a-a;Down
a-e;Up
e-e;Up
e-a;Down
a-e;Down
e-e;Up
e-a;Down
a-a;Down
a-e;Up
e-e;Up
e-e;Up
e-e;Up
e-e;Up
